Gift_0,1433,53,Luxury,5,4
Gift_1,1690,81,Essential
Gift_2,817,87,Essential
Gift_3,1163,8,Utility,14,14
Gift_4,966,47,Utility,3,9
Gift_5,2436,21,Luxury,13,15
Gift_6,2283,91,Utility,12,4
Gift_7,1697,19,Essential
Gift_8,2592,74,Essential
Gift_9,2215,66,Luxury,2,14
Gift_10,2588,83,Essential
Gift_11,2077,4,Utility,8,3
Gift_12,2408,90,Luxury,5,10
Gift_13,890,39,Luxury,6,9
Gift_14,46,5,Luxury,12,9
Gift_15,1581,6,Essential
Gift_16,671,78,Luxury,2,1
Gift_17,1104,54,Luxury,4,8
Gift_18,2291,71,Utility,6,7
Gift_19,2308,71,Utility,6,9
Gift_20,863,12,Essential
Gift_21,1583,70,Luxury,1,2
Gift_22,2053,100,Essential
Gift_23,631,80,Essential
Gift_24,1195,24,Essential
Gift_25,1137,86,Essential
Gift_26,207,71,Utility,7,6
Gift_27,698,41,Luxury,4,11
Gift_28,1309,14,Essential
Gift_29,1836,100,Utility,14,1
Gift_30,2270,77,Luxury,11,5
Gift_31,1692,26,Essential
Gift_32,2250,80,Essential
Gift_33,1369,86,Utility,11,2
Gift_34,208,22,Essential
Gift_35,1262,85,Luxury,12,10
Gift_36,1188,10,Essential
Gift_37,469,47,Essential
Gift_38,2396,85,Utility,6,6
Gift_39,1023,17,Utility,8,6
Gift_40,2258,54,Luxury,13,14
Gift_41,1266,89,Essential
Gift_42,1014,55,Utility,2,6
Gift_43,1713,13,Luxury,11,10
Gift_44,1506,34,Essential
Gift_45,57,31,Luxury,1,10
Gift_46,2310,73,Utility,13,1
Gift_47,539,62,Luxury,9,1
Gift_48,2171,18,Utility,4,6
Gift_49,1959,42,Utility,15,3
Gift_50,6,26,Essential
Gift_51,118,9,Essential
Gift_52,1166,56,Utility,3,6
Gift_53,539,77,Utility,4,14
Gift_54,622,57,Utility,7,8
