Gift_0,849,30,Essential
Gift_1,2202,52,Essential
Gift_2,1588,59,Utility,12,8
Gift_3,2534,46,Luxury,6,12
Gift_4,968,64,Essential
Gift_5,2345,81,Luxury,8,2
Gift_6,1489,66,Utility,5,11
Gift_7,491,36,Utility,13,5
Gift_8,859,20,Utility,8,3
Gift_9,1227,95,Essential
Gift_10,986,67,Luxury,2,15
Gift_11,895,45,Utility,9,13
Gift_12,1315,76,Luxury,1,7
Gift_13,248,42,Essential
Gift_14,209,12,Essential
Gift_15,464,70,Utility,2,7
Gift_16,1238,55,Luxury,1,12
Gift_17,2530,75,Utility,5,3
Gift_18,1615,24,Luxury,6,5
Gift_19,1723,86,Essential
Gift_20,146,28,Luxury,3,1
Gift_21,1726,86,Utility,2,4
Gift_22,431,97,Utility,11,11
Gift_23,1821,75,Utility,14,5
Gift_24,1057,70,Utility,5,8
Gift_25,433,96,Essential
Gift_26,299,68,Luxury,13,5
Gift_27,1766,87,Utility,7,15
Gift_28,1989,16,Essential
Gift_29,1999,58,Essential
Gift_30,1443,49,Essential
Gift_31,2224,59,Utility,2,2
Gift_32,565,17,Luxury,4,11
Gift_33,1543,33,Utility,10,8
Gift_34,1566,17,Luxury,9,2
Gift_35,1656,20,Essential
Gift_36,941,3,Essential
Gift_37,1082,50,Luxury,14,3
Gift_38,544,52,Luxury,15,4
Gift_39,1082,0,Utility,2,12
Gift_40,229,86,Luxury,5,3
Gift_41,1810,97,Luxury,2,5
Gift_42,2525,63,Essential
Gift_43,2046,68,Luxury,6,7
Gift_44,1783,62,Utility,15,1
Gift_45,780,24,Essential
Gift_46,331,19,Luxury,3,5
Gift_47,562,89,Essential
Gift_48,247,38,Utility,6,3
Gift_49,138,85,Utility,2,14
Gift_50,2416,67,Essential
Gift_51,1066,11,Luxury,8,3
Gift_52,19,15,Luxury,8,5
Gift_53,1022,22,Utility,2,13
Gift_54,1677,35,Luxury,2,13
