Gift_0,1312,71,Utility,10,12
Gift_1,867,3,Essential
Gift_2,1862,43,Utility,6,2
Gift_3,533,89,Luxury,15,10
Gift_4,1507,72,Utility,4,4
Gift_5,22,60,Luxury,4,2
Gift_6,752,29,Luxury,4,10
Gift_7,2337,35,Luxury,8,14
Gift_8,2485,13,Luxury,12,5
Gift_9,1314,18,Essential
Gift_10,1388,40,Essential
Gift_11,785,86,Essential
Gift_12,1932,15,Utility,11,3
Gift_13,2160,53,Luxury,9,10
Gift_14,1013,47,Utility,7,13
Gift_15,556,57,Essential
Gift_16,1193,94,Luxury,2,6
Gift_17,1963,34,Utility,9,14
Gift_18,2453,77,Essential
Gift_19,812,66,Luxury,12,4
Gift_20,1048,28,Luxury,3,5
Gift_21,2232,18,Utility,14,14
Gift_22,440,24,Luxury,3,7
Gift_23,2147,90,Utility,4,13
Gift_24,572,34,Utility,3,1
Gift_25,2205,14,Essential
Gift_26,1289,49,Essential
Gift_27,344,46,Utility,9,4
Gift_28,356,7,Utility,2,2
Gift_29,2046,72,Utility,6,13
Gift_30,2130,99,Utility,13,7
Gift_31,724,81,Luxury,14,8
Gift_32,2429,69,Essential
Gift_33,2507,10,Utility,15,15
Gift_34,314,71,Luxury,15,1
Gift_35,875,82,Luxury,7,7
Gift_36,860,44,Luxury,4,5
Gift_37,1713,14,Essential
Gift_38,323,2,Luxury,4,13
Gift_39,1936,74,Essential
Gift_40,335,67,Utility,1,3
Gift_41,851,41,Luxury,6,12
Gift_42,1232,96,Utility,7,11
Gift_43,1919,23,Essential
Gift_44,342,74,Essential
Gift_45,1008,11,Essential
Gift_46,1185,18,Utility,5,8
Gift_47,2519,74,Essential
Gift_48,1511,16,Essential
Gift_49,1457,64,Essential
Gift_50,2492,3,Luxury,10,12
Gift_51,480,38,Utility,1,2
Gift_52,710,65,Utility,14,14
Gift_53,1540,98,Utility,9,2
Gift_54,897,51,Essential
