Gift_0,34,18,Luxury,5,10
Gift_1,1095,33,Utility,9,12
Gift_2,1302,26,Utility,4,2
Gift_3,664,17,Utility,14,8
Gift_4,1030,96,Luxury,6,9
Gift_5,582,73,Luxury,12,8
Gift_6,36,77,Luxury,5,9
Gift_7,1258,40,Essential
Gift_8,1445,1,Utility,8,15
Gift_9,2554,92,Utility,3,9
Gift_10,1168,21,Utility,6,12
Gift_11,286,4,Utility,6,5
Gift_12,292,0,Essential
Gift_13,1661,3,Luxury,4,12
Gift_14,2022,71,Luxury,7,8
Gift_15,729,5,Utility,14,3
Gift_16,969,71,Utility,2,11
Gift_17,1656,56,Luxury,9,6
Gift_18,915,51,Luxury,10,5
Gift_19,483,87,Essential
Gift_20,990,93,Essential
Gift_21,972,89,Utility,6,1
Gift_22,2032,8,Luxury,6,6
Gift_23,1647,1,Luxury,11,8
Gift_24,1984,8,Essential
Gift_25,35,68,Luxury,1,5
Gift_26,2068,50,Utility,6,11
Gift_27,80,19,Utility,6,1
Gift_28,1224,91,Luxury,10,4
Gift_29,943,49,Essential
Gift_30,780,48,Essential
Gift_31,1747,22,Utility,8,4
Gift_32,2421,72,Luxury,10,4
Gift_33,559,87,Luxury,2,5
Gift_34,1595,49,Utility,12,2
Gift_35,2385,84,Essential
Gift_36,1480,88,Utility,13,7
Gift_37,90,34,Essential
Gift_38,1319,84,Luxury,8,3
Gift_39,1639,62,Luxury,13,2
Gift_40,301,99,Luxury,3,5
Gift_41,113,19,Essential
Gift_42,2503,42,Luxury,7,6
Gift_43,2228,19,Luxury,8,14
Gift_44,952,33,Utility,8,13
Gift_45,1691,87,Utility,10,3
Gift_46,1946,86,Essential
Gift_47,2317,58,Utility,4,10
Gift_48,47,47,Luxury,12,11
Gift_49,1575,73,Essential
Gift_50,624,18,Utility,2,14
Gift_51,12,47,Utility,5,4
Gift_52,1183,79,Essential
Gift_53,1745,53,Essential
Gift_54,2242,98,Essential
